pan_transcriptome_size	genes_pan	hard_core_transcriptome_size	genes_hard_core	soft_core_transcriptome_size	genes_soft_core	accessory_transcriptome_size	genes_accessory	exclusive_transcriptome_size	genes_exclusive	number_genotypes	n_sample
382918	3496651	39	3064	231	14808	382648	3478779	6856	0	18	8
386000	3507720	33	2593	228	14051	385739	3491076	3774	0	18	9
382389	3561663	191	12264	1156	65996	381042	3483403	7385	0	18	10
381247	3502525	34	2574	210	12987	381003	3486964	8527	0	18	11
379435	3535404	46	3369	268	15779	379121	3516256	10339	0	18	12
382394	3397405	32	2303	215	13370	382147	3381732	7380	0	18	13
387383	3536643	37	2902	231	14574	387115	3519167	2391	0	18	14
382169	3461566	35	2589	237	14785	381897	3444192	7605	0	18	15
368069	3050165	33	2312	213	12594	367823	3035259	21705	0	18	16
381240	3587723	44	3343	270	15870	380926	3568510	8534	0	18	17
375521	3541856	45	3296	256	15050	375220	3523510	14253	0	18	18
385325	3509396	37	2674	219	14033	385069	3492689	4449	0	18	19
386386	3557293	30	2296	211	13710	386145	3541287	3388	0	19	0
387660	3643396	31	2414	215	14532	387414	3626450	2114	0	19	1
387945	3639467	31	2438	210	13851	387704	3623178	1829	0	19	2
387364	3606555	30	2341	213	14008	387121	3590206	2410	0	19	3
388963	3669284	35	2678	214	14337	388714	3652269	811	0	19	4
379441	3393040	34	2624	374	24961	379033	3365455	10333	0	19	5
388914	3651114	31	2466	215	14187	388668	3634461	860	0	19	6
387364	3606555	30	2341	213	14008	387121	3590206	2410	0	19	7
388344	3656539	36	2954	223	14893	388085	3638692	1430	0	19	8
371212	3228228	36	2691	1051	63989	370125	3161548	18562	0	19	9
387945	3639467	31	2438	210	13851	387704	3623178	1829	0	19	10
385315	3569840	33	2563	214	13805	385068	3553472	4459	0	19	11
387660	3643396	31	2414	215	14532	387414	3626450	2114	0	19	12
379441	3393040	34	2624	374	24961	379033	3365455	10333	0	19	13
388344	3656539	36	2954	223	14893	388085	3638692	1430	0	19	14
387055	3627616	32	2616	223	14622	386800	3610378	2719	0	19	15
387660	3643396	31	2414	215	14532	387414	3626450	2114	0	19	16
386065	3621454	33	2583	231	15053	385801	3603818	3709	0	19	17
386386	3557293	30	2296	211	13710	386145	3541287	3388	0	19	18
388963	3669284	35	2678	214	14337	388714	3652269	811	0	19	19
