Orthogroups	Group	number_genotypes
360984	Accessory	17
385030	Accessory	18
383593	Accessory	18
385739	Accessory	18
368908	Accessory	18
386873	Accessory	18
365600	Accessory	18
378181	Accessory	18
384820	Accessory	18
382648	Accessory	18
385739	Accessory	18
381042	Accessory	18
381003	Accessory	18
379121	Accessory	18
382147	Accessory	18
387115	Accessory	18
381897	Accessory	18
367823	Accessory	18
380926	Accessory	18
375220	Accessory	18
385069	Accessory	18
386145	Accessory	19
387414	Accessory	19
387704	Accessory	19
387121	Accessory	19
388714	Accessory	19
379033	Accessory	19
388668	Accessory	19
387121	Accessory	19
388085	Accessory	19
370125	Accessory	19
387704	Accessory	19
385068	Accessory	19
387414	Accessory	19
379033	Accessory	19
388085	Accessory	19
386800	Accessory	19
387414	Accessory	19
385801	Accessory	19
386145	Accessory	19
388714	Accessory	19
347519	Exclusive	1
325618	Exclusive	1
256817	Exclusive	1
350889	Exclusive	1
